nodes,techs,costs,cost_operation_fixed
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,monetary,0.0
ESP_1,battery_CN,monetary,0.04300476629873577
ESP_1,battery_CZ,monetary,0.039857993003402696
ESP_1,battery_ESP,monetary,0.019253029540985303
ESP_1,battery_HU,monetary,0.03774494522993281
ESP_1,battery_PL,monetary,0.039523070839231234
ESP_1,battery_US,monetary,0.04184716119496364
ESP_1,biogas_to_electricity_supply_BEL,monetary,0.005081268654306801
ESP_1,biogas_to_electricity_supply_CAN,monetary,0.00023797229246441166
ESP_1,biogas_to_electricity_supply_FR,monetary,0.00020528690060333716
ESP_1,biogas_to_electricity_supply_FSM,monetary,0.00040777162998277506
ESP_1,biogas_to_electricity_supply_UK,monetary,0.0002937492167894216
ESP_1,biogas_to_electricity_supply_USA,monetary,0.0003957288047620473
ESP_1,biomass_ESP,monetary,0.0026304325885840433
ESP_1,biomass_FR,monetary,0.00263251825988148
ESP_1,biomass_IT,monetary,0.002629199901966634
ESP_1,existing_biogas_to_electricity_supply,monetary,7325.6911879452055
ESP_1,existing_biomass,monetary,351297.5621917807
ESP_1,existing_ccgt,monetary,0.004007531145670675
ESP_1,existing_chp,monetary,1166038.381589041
ESP_1,existing_coal,monetary,0.0036189381823554076
ESP_1,existing_hydro_run_of_river,monetary,966817.8082191779
ESP_1,existing_nuclear,monetary,0.0
ESP_1,existing_oil_and_other,monetary,0.0
ESP_1,existing_open_field_pv,monetary,6215.013698630137
ESP_1,existing_pumped_hydro,monetary,119703.97808219178
ESP_1,existing_rooftop_pv,monetary,297.39726027397256
ESP_1,existing_wind_onshore,monetary,1719730.8369863012
ESP_1,existing_wte,monetary,0.003019366605319312
ESP_1,open_field_pv_CN,monetary,0.0015403751098180688
ESP_1,open_field_pv_DE,monetary,0.010567848115910697
ESP_1,open_field_pv_ESP,monetary,0.0013686334082535037
ESP_1,open_field_pv_MY,monetary,0.009650326774542067
ESP_1,open_field_pv_NL,monetary,0.01150150909169729
ESP_1,open_field_pv_PT,monetary,0.007434786855862857
ESP_1,pumped_hydro_CN,monetary,2.1962011494397977
ESP_1,pumped_hydro_ESP,monetary,0.0028524337986020405
ESP_1,roof_mounted_pv_CN,monetary,0.0015495528293195933
ESP_1,roof_mounted_pv_DE,monetary,0.0014757138457679132
ESP_1,roof_mounted_pv_ESP,monetary,0.0005460997900812986
ESP_1,roof_mounted_pv_MY,monetary,0.00143924830603451
ESP_1,roof_mounted_pv_NL,monetary,0.0015085657576810881
ESP_1,roof_mounted_pv_PT,monetary,0.0013280698197344419
ESP_1,wind_offshore_CN,monetary,0.003918818970894581
ESP_1,wind_offshore_DE,monetary,0.004068101795611045
ESP_1,wind_offshore_ESP,monetary,5.487661096131969e-05
ESP_1,wind_offshore_FR,monetary,0.00408832680319199
ESP_1,wind_offshore_IND,monetary,0.003915962503228261
ESP_1,wind_offshore_NDL,monetary,0.004119290720334524
ESP_1,wind_offshore_PT,monetary,0.004094203650359878
ESP_1,wind_onshore_competing_CN,monetary,0.007402586124648507
ESP_1,wind_onshore_competing_DE,monetary,0.008000953645808695
ESP_1,wind_onshore_competing_ESP,monetary,3.7196423858902506e-05
ESP_1,wind_onshore_competing_FR,monetary,0.008084898660918332
ESP_1,wind_onshore_competing_IND,monetary,0.0037684308639708013
ESP_1,wind_onshore_competing_NDL,monetary,0.008215043002112336
ESP_1,wind_onshore_competing_PT,monetary,0.008109440445342687
ESP_1,wind_onshore_monopoly_CN,monetary,0.003940454475319019
ESP_1,wind_onshore_monopoly_DE,monetary,0.004228606816648639
ESP_1,wind_onshore_monopoly_ESP,monetary,0.0043317968301637465
ESP_1,wind_onshore_monopoly_FR,monetary,0.004269097676211876
ESP_1,wind_onshore_monopoly_IND,monetary,0.003935118108543321
ESP_1,wind_onshore_monopoly_NDL,monetary,0.003084317695486834
ESP_1,wind_onshore_monopoly_PT,monetary,0.004280930773530114
ESP_10,Trade_Markets_ESP_10_natural_gas_transmission,monetary,0.0
ESP_10,battery_CN,monetary,19036.222711880917
ESP_10,battery_CZ,monetary,0.5063769536324975
ESP_10,battery_ESP,monetary,0.03544094220967726
ESP_10,battery_HU,monetary,0.28854899866537304
ESP_10,battery_PL,monetary,0.45366759247175625
ESP_10,battery_US,monetary,1.5111271600753986
ESP_10,biogas_to_electricity_supply_BEL,monetary,0.00928843812695525
ESP_10,biogas_to_electricity_supply_CAN,monetary,0.00023973186245549477
ESP_10,biogas_to_electricity_supply_FR,monetary,0.00020662173041985954
ESP_10,biogas_to_electricity_supply_FSM,monetary,0.0004132314520230231
ESP_10,biogas_to_electricity_supply_UK,monetary,0.00029642739961926513
ESP_10,biogas_to_electricity_supply_USA,monetary,0.0004008275007115483
ESP_10,biomass_ESP,monetary,0.002623055650211041
ESP_10,biomass_FR,monetary,0.002625133298239732
ESP_10,biomass_IT,monetary,0.002621827703665256
ESP_10,existing_biogas_to_electricity_supply,monetary,587.9868460273973
ESP_10,existing_biomass,monetary,28175.589917808215
ESP_10,existing_ccgt,monetary,0.004356272887026293
ESP_10,existing_chp,monetary,1894841.5035616437
ESP_10,existing_coal,monetary,0.0
ESP_10,existing_hydro_run_of_river,monetary,99328.76712328767
ESP_10,existing_nuclear,monetary,0.0
ESP_10,existing_oil_and_other,monetary,0.0
ESP_10,existing_open_field_pv,monetary,156750.24657534246
ESP_10,existing_pumped_hydro,monetary,0.0
ESP_10,existing_rooftop_pv,monetary,7508.136986301369
ESP_10,existing_wind_onshore,monetary,118047.6184109589
ESP_10,existing_wte,monetary,0.002702195534843906
ESP_10,open_field_pv_CN,monetary,0.0015818030055644626
ESP_10,open_field_pv_DE,monetary,0.14061310833552576
ESP_10,open_field_pv_ESP,monetary,0.001405138105919006
ESP_10,open_field_pv_MY,monetary,0.05968564457002921
ESP_10,open_field_pv_NL,monetary,310642.5439435047
ESP_10,open_field_pv_PT,monetary,0.019228491080776035
ESP_10,pumped_hydro_CN,monetary,0.0
ESP_10,pumped_hydro_ESP,monetary,0.0
ESP_10,roof_mounted_pv_CN,monetary,0.0018531099807141138
ESP_10,roof_mounted_pv_DE,monetary,0.0017546000219782168
ESP_10,roof_mounted_pv_ESP,monetary,0.0006152303495951932
ESP_10,roof_mounted_pv_MY,monetary,0.0017078787589887676
ESP_10,roof_mounted_pv_NL,monetary,0.0017968515484696052
ESP_10,roof_mounted_pv_PT,monetary,0.001566433660592966
ESP_10,wind_offshore_CN,monetary,0.00507597236240643
ESP_10,wind_offshore_DE,monetary,0.005300772855021113
ESP_10,wind_offshore_ESP,monetary,5.604820140948588e-05
ESP_10,wind_offshore_FR,monetary,0.00533143076210088
ESP_10,wind_offshore_IND,monetary,0.005071696460610831
ESP_10,wind_offshore_NDL,monetary,0.005378465355306654
ESP_10,wind_offshore_PT,monetary,0.005340348503594441
ESP_10,wind_onshore_competing_CN,monetary,0.005229249674674987
ESP_10,wind_onshore_competing_DE,monetary,0.005685792262228623
ESP_10,wind_onshore_competing_ESP,monetary,3.146589896546855e-05
ESP_10,wind_onshore_competing_FR,monetary,0.005751282784220281
ESP_10,wind_onshore_competing_IND,monetary,0.0038111855335777396
ESP_10,wind_onshore_competing_NDL,monetary,0.005853363905043955
ESP_10,wind_onshore_competing_PT,monetary,0.005770485283602012
ESP_10,wind_onshore_monopoly_CN,monetary,0.004022589539261418
ESP_10,wind_onshore_monopoly_DE,monetary,0.00433875860776387
ESP_10,wind_onshore_monopoly_ESP,monetary,0.0044530892449860275
ESP_10,wind_onshore_monopoly_FR,monetary,0.004383554492054226
ESP_10,wind_onshore_monopoly_IND,monetary,0.004016774234979849
ESP_10,wind_onshore_monopoly_NDL,monetary,0.0031065902365922634
ESP_10,wind_onshore_monopoly_PT,monetary,0.0043966628185413996
ESP_11,Trade_Markets_ESP_11_natural_gas_transmission,monetary,0.0
ESP_11,Trade_Markets_ESP_11_oil_fuel_transmission,monetary,0.0
ESP_11,battery_CN,monetary,0.004433304067833716
ESP_11,battery_CZ,monetary,0.004376364963137314
ESP_11,battery_ESP,monetary,0.003758645913906135
ESP_11,battery_HU,monetary,0.00433441931455721
ESP_11,battery_PL,monetary,0.00436993032071237
ESP_11,battery_US,monetary,0.004413069373359049
ESP_11,biogas_to_electricity_supply_BEL,monetary,0.006432583850072663
ESP_11,biogas_to_electricity_supply_CAN,monetary,0.0002336284691910299
ESP_11,biogas_to_electricity_supply_FR,monetary,0.00020192565553458217
ESP_11,biogas_to_electricity_supply_FSM,monetary,0.00039659129220384425
ESP_11,biogas_to_electricity_supply_UK,monetary,0.00028747098097988766
ESP_11,biogas_to_electricity_supply_USA,monetary,0.0003851181108000939
ESP_11,biomass_ESP,monetary,0.0025686466769910495
ESP_11,biomass_FR,monetary,0.0025706537463220627
ESP_11,biomass_IT,monetary,0.0025674604266543244
ESP_11,existing_biogas_to_electricity_supply,monetary,977.1375605479452
ESP_11,existing_biomass,monetary,46839.6749589041
ESP_11,existing_ccgt,monetary,0.0038464114219860044
ESP_11,existing_chp,monetary,1703708.398268493
ESP_11,existing_coal,monetary,0.0
ESP_11,existing_hydro_run_of_river,monetary,219452.05479452052
ESP_11,existing_nuclear,monetary,4437416.82410959
ESP_11,existing_oil_and_other,monetary,0.0033316398726507043
ESP_11,existing_open_field_pv,monetary,124643.06849315067
ESP_11,existing_pumped_hydro,monetary,344090.66986301367
ESP_11,existing_rooftop_pv,monetary,5970.821917808219
ESP_11,existing_wind_onshore,monetary,536042.6378082192
ESP_11,existing_wte,monetary,0.0028174584001253843
ESP_11,open_field_pv_CN,monetary,0.0015786338346866044
ESP_11,open_field_pv_DE,monetary,0.08758956751996376
ESP_11,open_field_pv_ESP,monetary,0.0012579811541165332
ESP_11,open_field_pv_MY,monetary,0.038079895250542256
ESP_11,open_field_pv_NL,monetary,499817.175842792
ESP_11,open_field_pv_PT,monetary,0.013140221600964124
ESP_11,pumped_hydro_CN,monetary,0.00637504141716449
ESP_11,pumped_hydro_ESP,monetary,0.0027702690716959475
ESP_11,roof_mounted_pv_CN,monetary,0.0016725677955024465
ESP_11,roof_mounted_pv_DE,monetary,0.0015919971197962464
ESP_11,roof_mounted_pv_ESP,monetary,0.0005912894399052153
ESP_11,roof_mounted_pv_MY,monetary,0.0015522473240097614
ESP_11,roof_mounted_pv_NL,monetary,0.0016278666769330536
ESP_11,roof_mounted_pv_PT,monetary,0.0014314603600691516
ESP_11,wind_offshore_CN,monetary,0.0041771989637285675
ESP_11,wind_offshore_DE,monetary,0.004344346171764935
ESP_11,wind_offshore_ESP,monetary,5.500751291475149e-05
ESP_11,wind_offshore_FR,monetary,0.004367046923217213
ESP_11,wind_offshore_IND,monetary,0.004174007502480439
ESP_11,wind_offshore_NDL,monetary,0.0044018318108026665
ESP_11,wind_offshore_PT,monetary,0.004373645801953864
ESP_11,wind_onshore_competing_CN,monetary,0.006250795166648336
ESP_11,wind_onshore_competing_DE,monetary,0.006823618828735789
ESP_11,wind_onshore_competing_ESP,monetary,3.221241418237736e-05
ESP_11,wind_onshore_competing_FR,monetary,0.0069064262450328935
ESP_11,wind_onshore_competing_IND,monetary,0.004081638130818244
ESP_11,wind_onshore_competing_NDL,monetary,0.007035779930343942
ESP_11,wind_onshore_competing_PT,monetary,0.006930735388300603
ESP_11,wind_onshore_monopoly_CN,monetary,0.004316625911078059
ESP_11,wind_onshore_monopoly_DE,monetary,0.004693123908298682
ESP_11,wind_onshore_monopoly_ESP,monetary,0.004831077821156137
ESP_11,wind_onshore_monopoly_FR,monetary,0.004747054009182474
ESP_11,wind_onshore_monopoly_IND,monetary,0.004309769864565524
ESP_11,wind_onshore_monopoly_NDL,monetary,0.0032641954326625717
ESP_11,wind_onshore_monopoly_PT,monetary,0.004762863908487537
ESP_2,Trade_Markets_ESP_2_natural_gas_transmission,monetary,0.0
ESP_2,Trade_Markets_ESP_2_oil_fuel_transmission,monetary,0.0
ESP_2,battery_CN,monetary,0.015826095797012697
ESP_2,battery_CZ,monetary,0.015174516223600509
ESP_2,battery_ESP,monetary,0.009750111229256654
ESP_2,battery_HU,monetary,0.014713030084737842
ESP_2,battery_PL,monetary,0.01510273153397622
ESP_2,battery_US,monetary,0.015591053575636903
ESP_2,biogas_to_electricity_supply_BEL,monetary,0.003930050085822672
ESP_2,biogas_to_electricity_supply_CAN,monetary,0.00023032563607049294
ESP_2,biogas_to_electricity_supply_FR,monetary,0.00019939633945139482
ESP_2,biogas_to_electricity_supply_FSM,monetary,0.00038825503684484657
ESP_2,biogas_to_electricity_supply_UK,monetary,0.00028268947661319886
ESP_2,biogas_to_electricity_supply_USA,monetary,0.000377188408731088
ESP_2,biomass_ESP,monetary,0.002533637840613233
ESP_2,biomass_FR,monetary,0.0025355875995948336
ESP_2,biomass_IT,monetary,0.002532485435452652
ESP_2,existing_biogas_to_electricity_supply,monetary,4439.726764931507
ESP_2,existing_biomass,monetary,212932.08558904106
ESP_2,existing_ccgt,monetary,0.0037253705734780146
ESP_2,existing_chp,monetary,0.0
ESP_2,existing_coal,monetary,0.0035488311653506938
ESP_2,existing_hydro_run_of_river,monetary,199726.02739726027
ESP_2,existing_nuclear,monetary,1898896.089863014
ESP_2,existing_oil_and_other,monetary,0.0038152127422805128
ESP_2,existing_open_field_pv,monetary,177724.05479452055
ESP_2,existing_pumped_hydro,monetary,288538.79452054796
ESP_2,existing_rooftop_pv,monetary,8510.13698630137
ESP_2,existing_wind_onshore,monetary,2518177.136575342
ESP_2,existing_wte,monetary,0.0026569741157577704
ESP_2,open_field_pv_CN,monetary,0.0015325589367923334
ESP_2,open_field_pv_DE,monetary,0.00680211342213714
ESP_2,open_field_pv_ESP,monetary,0.0011861578562227147
ESP_2,open_field_pv_MY,monetary,0.00635170872573753
ESP_2,open_field_pv_NL,monetary,0.0072435069728342665
ESP_2,open_field_pv_PT,monetary,0.0051873666274193445
ESP_2,pumped_hydro_CN,monetary,0.02593329296160548
ESP_2,pumped_hydro_ESP,monetary,0.002690578569509415
ESP_2,roof_mounted_pv_CN,monetary,0.0017883946140104265
ESP_2,roof_mounted_pv_DE,monetary,0.0016918487833367498
ESP_2,roof_mounted_pv_ESP,monetary,0.0005989184266859655
ESP_2,roof_mounted_pv_MY,monetary,0.0016475620152787826
ESP_2,roof_mounted_pv_NL,monetary,0.0017318343743498853
ESP_2,roof_mounted_pv_PT,monetary,0.0015128240114209138
ESP_2,wind_offshore_CN,monetary,0.003913481803432122
ESP_2,wind_offshore_DE,monetary,0.004060706218370172
ESP_2,wind_offshore_ESP,monetary,5.4946911150596275e-05
ESP_2,wind_offshore_FR,monetary,0.004080648251931926
ESP_2,wind_offshore_IND,monetary,0.003910663894603875
ESP_2,wind_offshore_NDL,monetary,0.004111181909901726
ESP_2,wind_offshore_PT,monetary,0.00408644284320399
ESP_2,wind_onshore_competing_CN,monetary,0.0050239922000342736
ESP_2,wind_onshore_competing_DE,monetary,0.005418023540837984
ESP_2,wind_onshore_competing_ESP,monetary,3.159873740384499e-05
ESP_2,wind_onshore_competing_FR,monetary,0.005473976503455504
ESP_2,wind_onshore_competing_IND,monetary,0.003577583032574886
ESP_2,wind_onshore_competing_NDL,monetary,0.005560902425900643
ESP_2,wind_onshore_competing_PT,monetary,0.005490355437025112
ESP_2,wind_onshore_monopoly_CN,monetary,0.003892802262867841
ESP_2,wind_onshore_monopoly_DE,monetary,0.004183374158208481
ESP_2,wind_onshore_monopoly_ESP,monetary,0.004287708870011103
ESP_2,wind_onshore_monopoly_FR,monetary,0.00422429680451685
ESP_2,wind_onshore_monopoly_IND,monetary,0.00388743407766622
ESP_2,wind_onshore_monopoly_NDL,monetary,0.0030366035147697096
ESP_2,wind_onshore_monopoly_PT,monetary,0.004236259680212319
ESP_3,Trade_Markets_ESP_3_natural_gas_transmission,monetary,0.0
ESP_3,battery_CN,monetary,0.03502813686106676
ESP_3,battery_CZ,monetary,0.031965382392270654
ESP_3,battery_ESP,monetary,0.014132094128072339
ESP_3,battery_HU,monetary,0.029947737447564557
ESP_3,battery_PL,monetary,0.031643596574518075
ESP_3,battery_US,monetary,0.03389273810485658
ESP_3,biogas_to_electricity_supply_BEL,monetary,0.00808197525001531
ESP_3,biogas_to_electricity_supply_CAN,monetary,0.00023411061722633143
ESP_3,biogas_to_electricity_supply_FR,monetary,0.0002022273974803596
ESP_3,biogas_to_electricity_supply_FSM,monetary,0.0003992968526398909
ESP_3,biogas_to_electricity_supply_UK,monetary,0.0002884199638862943
ESP_3,biogas_to_electricity_supply_USA,monetary,0.00038757952302310777
ESP_3,biomass_ESP,monetary,0.002565705896787569
ESP_3,biomass_FR,monetary,0.002567707124011213
ESP_3,biomass_IT,monetary,0.002564523097963902
ESP_3,existing_biogas_to_electricity_supply,monetary,326.6593589041096
ESP_3,existing_biomass,monetary,15658.090575342463
ESP_3,existing_ccgt,monetary,0.003692205690902322
ESP_3,existing_chp,monetary,466135.67123287666
ESP_3,existing_coal,monetary,0.0
ESP_3,existing_hydro_run_of_river,monetary,119712.32876712327
ESP_3,existing_nuclear,monetary,0.0
ESP_3,existing_oil_and_other,monetary,0.0
ESP_3,existing_open_field_pv,monetary,30646.575342465752
ESP_3,existing_pumped_hydro,monetary,0.0
ESP_3,existing_rooftop_pv,monetary,1468.6849315068491
ESP_3,existing_wind_onshore,monetary,201984.08602739725
ESP_3,existing_wte,monetary,0.0
ESP_3,open_field_pv_CN,monetary,0.0015731126933950386
ESP_3,open_field_pv_DE,monetary,0.13037457301298913
ESP_3,open_field_pv_ESP,monetary,0.0013312703818554152
ESP_3,open_field_pv_MY,monetary,0.0551982089787344
ESP_3,open_field_pv_NL,monetary,183862.46608267684
ESP_3,open_field_pv_PT,monetary,0.017742993982570177
ESP_3,pumped_hydro_CN,monetary,21962.105396987627
ESP_3,pumped_hydro_ESP,monetary,0.0028554401861238658
